 Config File,    subjects,    duration,        mean,  meanOfHits,      median,      stddev,        top1,        top5,       top10,        topL,      recall,   precision,precisionAtL
          70,       40663,     25.1929,      5.5538,      2.7166,      1.0000,     39.2586,     78.9538,     93.0945,     96.1439,     87.2956,     98.9627,         NaN,     67.7720
          71,       40663,     25.0850,      3.8293,      2.8389,      1.0000,     25.4523,     78.9907,     93.2027,     96.3234,     87.4308,     99.2859,         NaN,     67.8210
          72,       40663,     25.7571,      5.2832,      2.7273,      1.0000,     37.4727,     78.9661,     93.1166,     96.1882,     87.3128,     99.0078,         NaN,     67.7884
          73,       40663,     25.1905,      3.9473,      2.8102,      1.0000,     26.7676,     79.0030,     93.2248,     96.3407,     87.4456,     99.2454,         NaN,     67.8133
          74,       40663,     26.6835,      5.0956,      2.7232,      1.0000,     36.2363,     78.9809,     93.1584,     96.2324,     87.3521,     99.0366,         NaN,     67.7895
          75,       40663,     25.3236,      3.9903,      2.7920,      1.0000,     27.2697,     79.0252,     93.2002,     96.3603,     87.4702,     99.2208,         NaN,     67.8281
          76,       40663,     27.6835,      4.9885,      2.7384,      1.0000,     35.4237,     78.9858,     93.1707,     96.2275,     87.3743,     99.0536,         NaN,     67.8149
          77,       40663,     26.8033,      4.0543,      2.7826,      1.0000,     27.8800,     78.9858,     93.2100,     96.3603,     87.4726,     99.2021,         NaN,     67.8180
          78,       40663,     30.9469,      4.8633,      2.7354,      1.0000,     34.5594,     78.9956,     93.1805,     96.2546,     87.3595,     99.0704,         NaN,     67.7992
          79,       40663,     25.6898,      4.1237,      2.7787,      1.0000,     28.4810,     79.0202,     93.2002,     96.3210,     87.4431,     99.1835,         NaN,     67.8125
          80,       40663,     28.4890,      3.9978,      2.7873,      1.0000,     27.1708,     78.9686,     92.7723,     95.9398,     87.2587,     99.2950,         NaN,     67.7012
          81,       40663,     29.4993,      3.6732,      2.9887,      1.0000,     22.6995,     78.7300,     92.6493,     95.8390,     87.0865,     99.4043,         NaN,     67.5503
