 Config File,    subjects,    duration,        mean,  meanOfHits,      median,      stddev,        top1,        top5,       top10,        topL,      recall,   precision,precisionAtL
          20,       46263,      6.3235,     16.5397,      2.9043,      1.0000,     82.1388,     78.5639,     90.7896,     93.5780,     78.5639,     97.2570,         NaN,     78.5639
          21,       46259,      6.8365,      6.8929,      3.2958,      1.0000,     44.6390,     79.4375,     92.1140,     94.9891,     79.4375,     99.2758,         NaN,     79.4375
          22,       46260,      6.6179,     14.7769,      2.9139,      1.0000,     76.8390,     78.6792,     91.0333,     93.8305,     78.6792,     97.6135,         NaN,     78.6792
          23,       46267,      6.8342,      7.3205,      3.1756,      1.0000,     47.1367,     79.1795,     91.9619,     94.9424,     79.1795,     99.1657,         NaN,     79.1795
          24,       46262,      7.4096,     13.2851,      2.9820,      1.0000,     71.9832,     78.7320,     91.2390,     94.0772,     78.7320,     97.9270,         NaN,     78.7320
          25,       46238,      7.2714,      7.4875,      3.2547,      1.0000,     47.7364,     79.1600,     91.7968,     94.7424,     79.1600,     99.1479,         NaN,     79.1600
          26,       46266,      8.3941,     12.3323,      2.9863,      1.0000,     68.6643,     78.7771,     91.2852,     94.1858,     78.7771,     98.1196,         NaN,     78.7771
          27,       46236,      7.4563,      8.1106,      3.1676,      1.0000,     51.1493,     78.9817,     91.7337,     94.7660,     78.9817,     99.0051,         NaN,     78.9817
          28,       46230,      9.8859,     11.7388,      3.0971,      1.0000,     66.2728,     78.7778,     91.3217,     94.2462,     78.7778,     98.2609,         NaN,     78.7778
          29,       46255,      8.0517,      8.6235,      3.2321,      1.0000,     53.2424,     78.9644,     91.5815,     94.5584,     78.9644,     98.9147,         NaN,     78.9644
          30,       46185,     12.1297,     11.2440,      3.0995,      1.0000,     64.5066,     78.8113,     91.4020,     94.3033,     78.8113,     98.3609,         NaN,     78.8113
          31,       46235,      8.5251,      8.6333,      3.1745,      1.0000,     53.4588,     78.9618,     91.6449,     94.6534,     78.9618,     98.9013,         NaN,     78.9618
          32,       46218,      6.0268,      9.0145,      3.0361,      1.0000,     55.6767,     79.1272,     91.8473,     94.7618,     79.1272,     98.7970,         NaN,     79.1272
          33,       46273,      7.4672,      5.1993,      3.4824,      1.0000,     33.1888,     79.6426,     92.2158,     95.1527,     79.6426,     99.6542,         NaN,     79.6426
          34,       46263,      6.0767,      8.8879,      2.9138,      1.0000,     55.5637,     79.4804,     92.1384,     94.9809,     79.4804,     98.7982,         NaN,     79.4804
          35,       46235,      7.4695,      5.1085,      3.4331,      1.0000,     32.7279,     79.6734,     92.3694,     95.2741,     79.6734,     99.6626,         NaN,     79.6734
          36,       46199,      5.8544,     16.4081,      2.8270,      1.0000,     81.9158,     78.6381,     90.9587,     93.6903,     78.6381,     97.2683,         NaN,     78.6381
          37,       46220,      6.4601,      6.7721,      3.2361,      1.0000,     44.2628,     79.4310,     92.1701,     95.1731,     79.4310,     99.2882,         NaN,     79.4310
          38,       46238,      6.2897,     14.6537,      2.8480,      1.0000,     76.6215,     78.6755,     91.0809,     93.9249,     78.6755,     97.6253,         NaN,     78.6755
          39,       46228,      6.6440,      7.2398,      3.2098,      1.0000,     46.6380,     79.1555,     91.9183,     94.8884,     79.1555,     99.1888,         NaN,     79.1555
          40,       46210,      6.9070,     13.2196,      2.9692,      1.0000,     71.7905,     78.7059,     91.2422,     94.0835,     78.7059,     97.9377,         NaN,     78.7059
          41,       46243,      7.1534,      7.6003,      3.2714,      1.0000,     48.2494,     79.0736,     91.7523,     94.7041,     79.0736,     99.1285,         NaN,     79.0736
          42,       46237,      8.0289,     12.4271,      3.0222,      1.0000,     68.9087,     78.7681,     91.2473,     94.1194,     78.7681,     98.1076,         NaN,     78.7681
          43,       46243,      7.0760,      8.0329,      3.1659,      1.0000,     50.7448,     79.0174,     91.8236,     94.7927,     79.0174,     99.0204,         NaN,     79.0174
          44,       46254,      9.5905,     11.5992,      3.0470,      1.0000,     65.9088,     78.8407,     91.2418,     94.2254,     78.8407,     98.2791,         NaN,     78.8407
          45,       46259,      7.2549,      8.7852,      3.2115,      1.0000,     54.0380,     78.9511,     91.6686,     94.6259,     78.9511,     98.8781,         NaN,     78.9511
          46,       46194,     12.0785,     11.1423,      3.0524,      1.0000,     64.1890,     78.7288,     91.3625,     94.2568,     78.7288,     98.3721,         NaN,     78.7288
          47,       46234,      7.6991,      9.2204,      3.1595,      1.0000,     56.1597,     78.9268,     91.5776,     94.5300,     78.9268,     98.7801,         NaN,     78.9268
          48,       46237,      9.6972,      9.0876,      3.0582,      1.0000,     55.8491,     79.0795,     91.5090,     94.3725,     79.0795,     98.7867,         NaN,     79.0795
