 Config File,    subjects,    duration,        mean,  meanOfHits,      median,      stddev,        top1,        top5,       top10,        topL,      recall,   precision,precisionAtL
          61,       40663,     31.3022,      4.0076,      2.7725,      1.0000,     27.4953,     79.0547,     93.2691,     96.3923,     87.4923,     99.1971,         NaN,     67.8576
          62,       40663,     46.8455,      5.1247,      2.9734,      1.0000,     34.9349,     78.8727,     92.8289,     95.8734,     87.2144,     99.0623,         NaN,     67.7003
          63,       40663,     34.4812,      4.0289,      2.7449,      1.0000,     27.8658,     79.0498,     93.2887,     96.3972,     87.5415,     99.1798,         NaN,     67.8757
          64,       40663,     24.9193,      3.9297,      2.7190,      1.0000,     27.1494,     79.1383,     93.3010,     96.4046,     87.5686,     99.2981,         NaN,     67.9301
          65,       40663,     25.1729,      3.5933,      2.9087,      1.0000,     22.6081,     78.9932,     93.1928,     96.3308,     87.4382,     99.4085,         NaN,     67.8355
          66,       40663,     24.8661,      3.9220,      2.7113,      1.0000,     27.1410,     79.1924,     93.3601,     96.4169,     87.5513,     99.2998,         NaN,     67.9339
          67,       40663,     25.2550,      3.6026,      2.9180,      1.0000,     22.6438,     79.0079,     93.1928,     96.3111,     87.4087,     99.4087,         NaN,     67.8186
          68,       40663,     24.8387,      5.9299,      2.7013,      1.0000,     41.6188,     78.9686,     93.0404,     96.1021,     87.2366,     98.9066,         NaN,     67.7637
          69,       40663,     24.9623,      3.8056,      2.9622,      1.0000,     24.5149,     78.9243,     93.0969,     96.1931,     87.3030,     99.3519,         NaN,     67.7363
          70,       40663,     25.1411,      5.5289,      2.7161,      1.0000,     39.1023,     78.9809,     93.1018,     96.1587,     87.3005,     98.9659,         NaN,     67.7849
          71,       40663,     25.1737,      3.8439,      2.8414,      1.0000,     25.6200,     78.9932,     93.2322,     96.3382,     87.4456,     99.2828,         NaN,     67.8190
          72,       40663,     25.6971,      5.2824,      2.7266,      1.0000,     37.4625,     78.9686,     93.1068,     96.1833,     87.3030,     99.0110,         NaN,     67.7806
          73,       40663,     25.7603,      3.9459,      2.8088,      1.0000,     26.7736,     79.0178,     93.2445,     96.3603,     87.4726,     99.2431,         NaN,     67.8224
          74,       40663,     26.8079,      5.0890,      2.7288,      1.0000,     36.1521,     78.9956,     93.1510,     96.2324,     87.3325,     99.0376,         NaN,     67.7911
          75,       40663,     25.6614,      3.9946,      2.7841,      1.0000,     27.3468,     79.0350,     93.2346,     96.3480,     87.4431,     99.2149,         NaN,     67.8173
          76,       40663,     27.8453,      4.9843,      2.7465,      1.0000,     35.3649,     78.9981,     93.1584,     96.2251,     87.3472,     99.0544,         NaN,     67.7948
          77,       40663,     25.6888,      4.0114,      2.7887,      1.0000,     27.4492,     79.0129,     93.2420,     96.3382,     87.4653,     99.2015,         NaN,     67.8199
          78,       40663,     29.6761,      4.8544,      2.7388,      1.0000,     34.4793,     79.0153,     93.1855,     96.2693,     87.3694,     99.0711,         NaN,     67.8009
          79,       40663,     27.0028,      4.0391,      2.7674,      1.0000,     27.8129,     79.0202,     93.2592,     96.3751,     87.4628,     99.1849,         NaN,     67.8228
          80,       40663,     29.0602,      3.9970,      2.7865,      1.0000,     27.1963,     78.8899,     92.8190,     95.9595,     87.2587,     99.2944,         NaN,     67.6862
          81,       40663,     29.6406,      3.6649,      2.9804,      1.0000,     22.6657,     78.7448,     92.6838,     95.8586,     87.0792,     99.4037,         NaN,     67.5583
          82,       40663,     28.7573,      3.9811,      2.7706,      1.0000,     27.1648,     78.9858,     92.8535,     95.9865,     87.2808,     99.2944,         NaN,     67.7374
          83,       40663,     30.2958,      3.6667,      2.9822,      1.0000,     22.6568,     78.8137,     92.6862,     95.8562,     87.1357,     99.4040,         NaN,     67.6011
          84,       40663,     28.3108,      6.2241,      2.9727,      1.0000,     41.9583,     78.7079,     92.5411,     95.6103,     86.9070,     98.9002,         NaN,     67.4968
          85,       40663,     28.3065,      4.1021,      3.2347,      1.0000,     25.0193,     78.6046,     92.5854,     95.6767,     86.8873,     99.3431,         NaN,     67.3844
          86,       40663,     32.7732,      5.8079,      2.9721,      1.0000,     39.4312,     78.7497,     92.5977,     95.6840,     86.9808,     98.9581,         NaN,     67.5302
          87,       40663,     28.4777,      3.8647,      2.8622,      1.0000,     25.5786,     78.8383,     93.1191,     96.2300,     87.2636,     99.2789,         NaN,     67.6534
          88,       40663,     37.0313,      5.5464,      2.9796,      1.0000,     37.7213,     78.7350,     92.6149,     95.6890,     87.0103,     99.0014,         NaN,     67.5361
          89,       40663,     31.7179,      3.9532,      2.8161,      1.0000,     26.7570,     78.9588,     93.1682,     96.2988,     87.4161,     99.2401,         NaN,     67.7940
          90,       40663,     42.3983,      5.3715,      2.9881,      1.0000,     36.5249,     78.7596,     92.6493,     95.7406,     87.0251,     99.0289,         NaN,     67.5383
          91,       40663,     32.6321,      3.9965,      2.7859,      1.0000,     27.3176,     79.0252,     93.2100,     96.3456,     87.4653,     99.2125,         NaN,     67.8017
          92,       40663,     48.6283,      5.2646,      3.0035,      1.0000,     35.7269,     78.7546,     92.6813,     95.7578,     87.0595,     99.0463,         NaN,     67.5628
          93,       40663,     32.0010,      3.9904,      2.7676,      1.0000,     27.3691,     79.0104,     93.2125,     96.3333,     87.4554,     99.1989,         NaN,     67.8424
          94,       40663,     55.3658,      5.1454,      3.0065,      1.0000,     34.8540,     78.7325,     92.6592,     95.7578,     87.0374,     99.0630,         NaN,     67.5386
